"filename", "language", "Python", "Markdown", "YAML", "vue", "JSON", "JavaScript", "PostCSS", "HTML", "Docker", "Makefile", "pip requirements", "comment", "blank", "total"
"/Users/foxen/Documents/nomisma/quart_vue/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 5, 13
"/Users/foxen/Documents/nomisma/quart_vue/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"/Users/foxen/Documents/nomisma/quart_vue/README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/foxen/Documents/nomisma/quart_vue/cron-config.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/foxen/Documents/nomisma/quart_vue/db.py", "Python", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 15, 210
"/Users/foxen/Documents/nomisma/quart_vue/docker-compose.yml", "YAML", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/foxen/Documents/nomisma/quart_vue/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 1, 51
"/Users/foxen/Documents/nomisma/quart_vue/server.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 78
"/Users/foxen/Documents/nomisma/quart_vue/tele.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/foxen/Documents/nomisma/quart_vue/test.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"/Users/foxen/Documents/nomisma/quart_vue/tinkof.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/foxen/Documents/nomisma/quart_vue/updateall.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 76
"/Users/foxen/Documents/nomisma/quart_vue/updateportfolios.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/foxen/Documents/nomisma/quart_vue/updateprices.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 62
"/Users/foxen/Documents/nomisma/quart_vue/utility.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"/Users/foxen/Documents/nomisma/quart_vue/web/README.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 36
"/Users/foxen/Documents/nomisma/quart_vue/web/dist/assets/index.7a929b66.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/foxen/Documents/nomisma/quart_vue/web/dist/assets/index.ed7f999b.js", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 78, 1, 94
"/Users/foxen/Documents/nomisma/quart_vue/web/dist/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"/Users/foxen/Documents/nomisma/quart_vue/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"/Users/foxen/Documents/nomisma/quart_vue/web/package-lock.json", "JSON", 0, 0, 0, 0, 9657, 0, 0, 0, 0, 0, 0, 0, 1, 9658
"/Users/foxen/Documents/nomisma/quart_vue/web/package.json", "JSON", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"/Users/foxen/Documents/nomisma/quart_vue/web/postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/foxen/Documents/nomisma/quart_vue/web/src/App.vue", "vue", 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 20, 215
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/Account.vue", "vue", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/Analysis.vue", "vue", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 20, 230
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/BarChart.vue", "vue", 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 14, 126
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/CalcSettings.vue", "vue", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/ConstGraphs.vue", "vue", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/ConstYearDisplay.vue", "vue", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 10, 112
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/Constructor.vue", "vue", 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 8, 16, 192
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/ConstructorList.vue", "vue", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/ConstructorPortfolios.vue", "vue", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/ControlPanel.vue", "vue", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/DataDisplay.vue", "vue", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/FlashMessage.vue", "vue", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/Head.vue", "vue", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 12, 77
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/Login.vue", "vue", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 8, 4, 46
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/Logout.vue", "vue", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/MobileAnalysis.vue", "vue", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 11, 125
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/MobileAnalysisSettings.vue", "vue", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/MobileHead.vue", "vue", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 15, 12, 82
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/MobilePortfolios.vue", "vue", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/PieAnalysis.vue", "vue", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 8, 65
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/PieSettings.vue", "vue", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/PortfolioDisplay.vue", "vue", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/Search.vue", "vue", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 6, 66
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/StatusDisplay.vue", "vue", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/TableAnalysis.vue", "vue", 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 15, 201
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/TableFilters.vue", "vue", 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 18, 142
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/TelegramLogin.vue", "vue", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/UpdateToken.vue", "vue", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 14, 101
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/YearDisplay.vue", "vue", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 9, 95
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/searchcomponents/BondDisplay.vue", "vue", 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 5, 111
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/searchcomponents/SearchBar.vue", "vue", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/searchcomponents/SearchList.vue", "vue", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/foxen/Documents/nomisma/quart_vue/web/src/components/searchcomponents/SearchSettings.vue", "vue", 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 25, 14, 244
"/Users/foxen/Documents/nomisma/quart_vue/web/src/main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/foxen/Documents/nomisma/quart_vue/web/src/main.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 7
"/Users/foxen/Documents/nomisma/quart_vue/web/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 1, 12
"/Users/foxen/Documents/nomisma/quart_vue/web/vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 3, 15
"Total", "-", 397, 24, 23, 2386, 9714, 45, 1, 27, 8, 7, 50, 199, 396, 13277